"CONTRATO";"OBJETO_CONTRATO";"DATA_INICIO";"DATA_TERMINO";"NUMERO_CRONOGRAMA";"DESCRICAO_CRONOGRAMA";"DATA_INICIO_CRONOGRAMA";"NUMERO_DIAS_CRONOGRAMA";"DATA_TERMINO_CRONOGRAMA";"OBSERVACAO_CRONOGRAMA";"VALOR_CONTRATO";"TIPO_CRONOGRAMA"
CT-00067/2022/SED;EEB PROFESSORA URSULINA SENNA CASTRO;;;0;CRONOGRAMA FISICO FINANCEIRO;2022-03-18 00:00:00;300;2023-01-12 00:00:00;;3437753.49;MENSAL
CT-00068/2022/SED;EEB MARECHAL LUZ;;;0;CRONOGRAMA FISICO FINANCEIRO;2022-03-18 00:00:00;300;2023-01-12 00:00:00;;3437753.49;MENSAL
CT-00070/2022/SED;EEB PROF. RUDOLFO MEYER;;;0;CRONOGRAMA FISICO FINANCEIRO;2022-03-15 00:00:00;300;2023-01-09 00:00:00;;3362198.03;MENSAL
CT-00071/2022/SED;EEB PROF. CLAURINICE VIEIRA CALDEIRA;;;0;CRONOGRAMA FISICO FINANCEIRO;2022-03-15 00:00:00;300;2023-01-09 00:00:00;;3362197.9;MENSAL
CT-00069/2022/SED;EEB ALVINO TRIBESS;;;0;CRONOGRAMA FISICO FINANCEIRO;2022-03-15 00:00:00;300;2023-01-09 00:00:00;;3437753.49;MENSAL
CT-00054/2022/SED;EEB GALEAZZO PAGANELLI;;;0;CRONOGRAMA FISICO FINANCEIRO;2022-03-15 00:00:00;210;2022-10-11 00:00:00;;2303316.69;MENSAL
CT-00050/2022/SED;EEF. RODOLFO FEUSER;;;0;CRONOGRAMA FISICO FINANCEIRO;2022-03-08 00:00:00;210;2022-10-04 00:00:00;;2303333.61;MENSAL
CT-00055/2022/SED;EEB PROFª FRANCISCA MARTINS OLIVEIRA BÚRIGO;;;0;CRONOGRAMA FISICIO FINANCEIRO;2022-03-08 00:00:00;210;2022-10-04 00:00:00;;2339333.16;MENSAL
CT-00090/2022/SED;EEF DIMER PIZZETTI;;;0;CRONOGRAMA FISICO FINANCEIRO;2022-04-01 00:00:00;300;2023-01-26 00:00:00;;2511484.06;MENSAL
CT-00115/2022/SED;EEB ILDEFONSO LINHARES;;;0;CRONOGRAMA FISICO FINANCEIRO;2022-03-18 00:00:00;300;2023-01-12 00:00:00;;3476271.77;MENSAL
CT-00116/2022/SED;EEB DE MUQUEM;;;0;CRONOGRAMA FISICO FINANCEIRO;2022-03-18 00:00:00;300;2023-01-12 00:00:00;;3476271.68;MENSAL
CT-00117/2022/SED;EEB VICENTE SILVEIRA;;;0;CRONOGRAMA FISICO FINANCEIRO;2022-03-18 00:00:00;300;2023-01-12 00:00:00;;3476271.96;MENSAL
CT-00118/2022/SED;EEB PROFª. NICOLINA TANCREDO;;;0;CRONOGRAMA FISICO FINANCEIRO;2022-03-18 00:00:00;300;2023-01-12 00:00:00;;3476271.68;MENSAL
CT-00019/2022/SED;EEF ENCANO DO NORTE;;;0;CRONOGRAMA FISICO FINANCEIRO;2022-03-08 00:00:00;210;2022-10-04 00:00:00;;2202222.13;MENSAL
CT-00049/2022/SED;EEB GENERAL OSVALDO PINTO DA VEIGA;;;0;CRONOGRAMA FISICO FINANCEIRO;2022-04-01 00:00:00;210;2022-10-28 00:00:00;;2360225.91;MENSAL
CT-00058/2022/SED;EEB OPERÁRIA;;;0;CRONOGRAMA FISICO FINANCEIRO;2022-03-10 00:00:00;210;2022-10-06 00:00:00;;1857106.04;MENSAL
CT-00047/2022/SED;EEB WERNER KNABBEN;;;0;CRONOGRAMA FISICO FINANCEIRO;2022-03-08 00:00:00;210;2022-10-04 00:00:00;;2288888.44;MENSAL
CT-00084/2022/SED;EEF ÂNGELO IZE;;;0;CRONOGRAMA FISICO FINANCEIRO;2022-03-10 00:00:00;300;2023-01-04 00:00:00;;3210191.42;MENSAL
CT-00077/2022/SED;EEB PALMIRA MORAIS DE MIRANDA;;;0;CRONOGRAMA FISICO FINANCEIRO;2022-03-10 00:00:00;300;2023-01-04 00:00:00;;3010755.6;MENSAL
CT-00034/2022/SED;EEB PROF. BALDUINO CARDOSO;;;0;CRONOGRAMA FISICO FINANCEIRO;2022-03-10 00:00:00;300;2023-01-04 00:00:00;;3110038.35;MENSAL
CT-00059/2022/SED;EEB FRANCISCO BENJAMIN GALLOTTI E EEB VISCONDE DE MAUÁ;;;0;CRONOGRAMA FISICO FINANCEIRO;2022-03-10 00:00:00;300;2023-01-04 00:00:00;;3204982.5;MENSAL
CT-00048/2022/SED;EEF PROF. MOTA PIRES;;;0;CRONOGRAMA FISICO FINANCEIRO;2022-03-10 00:00:00;300;2023-01-04 00:00:00;;2616851.16;MENSAL
CT-00003/2022/SED;EEB EMÍLIA BOOS LAUS SCHMIDT;;;0;CRONOGRAMA FISICO FINANANCEIRO;2022-02-04 00:00:00;180;2022-08-03 00:00:00;;1867883.96;MENSAL
CT-00046/2022/SED;EEF PROFESSOR FLORENTINO WETTER;;;0;CRONOGRAMA FISICO FINANCEIRO;2022-03-14 00:00:00;300;2023-01-08 00:00:00;;3069280.32;MENSAL
CT-00040/2022/SED;EEB APARÍCIO JÚLIO FARRAPO;;;0;CRONOGRAMA FISICO FINANCEIRO;2022-05-11 00:00:00;210;2022-12-07 00:00:00;;1989071.53;MENSAL
CT-00040/2022/SED;EEB APARÍCIO JÚLIO FARRAPO;;;1;CRONOGRAMA FISICO FINANCEIRO - ADITIVO;2022-05-11 00:00:00;90;2022-08-09 00:00:00;;1989071.53;MENSAL
CT-00040/2022/SED;EEB APARÍCIO JÚLIO FARRAPO;;;2;Cronograma - Aditivo;2022-05-11 00:00:00;210;2022-12-07 00:00:00;;1989071.53;MENSAL
CT-00060/2022/SED;ESCOLA DE EDUCAÇÃO BASICA PROFESSORA ZULMA BECKER;;;0;CRONOGRAMA FISICO FINANCEIRO;2022-03-14 00:00:00;300;2023-01-08 00:00:00;;3016137.12;MENSAL
CT-00078/2022/SED;EEB PLACIDO OLIMPIO DE OLIVEIRA;;;0;CRONOGRAMA FISICO FINANCEIRO;2022-03-15 00:00:00;300;2023-01-09 00:00:00;;3365465.12;MENSAL
CT-00079/2022/SED;EEB CARMEN SEARA LEITE;;;0;CRONOGRAMA FISICO FINANCEIRO;2022-03-18 00:00:00;300;2023-01-12 00:00:00;;3365465.18;MENSAL
CT-00061/2022/SED;EEB PEDRO MACIELCEJACEDUP;;;0;CRONOGRAMA FISICO FINANCEIRO;2022-03-30 00:00:00;300;2023-01-24 00:00:00;;3513694.99;MENSAL
CT-00063/2022/SED;EEB CONSELHEIRO ASTROGILDO ODON AGUIAR;;;0;CORNOGRAMA FISICO FINANCEIRO;2022-03-30 00:00:00;300;2023-01-24 00:00:00;;3363304.27;MENSAL
CT-00086/2022/SED;EEB GEORG KELLER;;;0;CRONOGRAMA FISICO FINANCEIRO;2022-03-14 00:00:00;300;2023-01-08 00:00:00;;3335909.71;MENSAL
CT-00087/2022/SED;EEB MARLI MARIA DE SOUZA;;;0;CRONOGRAMA FISICO FINANCEIRO;2022-03-15 00:00:00;300;2023-01-09 00:00:00;;3336337.44;MENSAL
CT-00066/2022/SED;EEB DOM PIO DE FREITAS;;;0;CRONOGRAMA FISICO FINANCEIRO;2022-03-30 00:00:00;300;2023-01-24 00:00:00;;3435317.49;MENSAL
CT-00088/2022/SED;EEB PROF. GUSTAVO AUGUSTO GONZAGA;;;0;CRONOGRAMA FISICO FINANCEIRO;2022-03-14 00:00:00;300;2023-01-08 00:00:00;;3335775.19;MENSAL
CT-00089/2022/SED;EEB PROFª MARIA AMIN GHANEM;;;0;CRONOGRAMA FISICO FINANCEIRO;2022-03-14 00:00:00;300;2023-01-08 00:00:00;;3335898.29;MENSAL
CT-00062/2022/SED;EEB SÃO FRANCISCO;;;0;CRONOGRAMA FISICO FINANCEIRO;2022-03-30 00:00:00;300;2023-01-24 00:00:00;;3513694.21;MENSAL
CT-00072/2022/SED;EEB SAMUEL SANDRINI;;;0;CRONOGRAMA FISICO FINANCEIRO;2022-03-08 00:00:00;300;2023-01-02 00:00:00;;3555599.1;MENSAL
CT-00064/2022/SED;EEB PROF. VALESCA CARMEN RESK PARIZOTTO;;;0;CRONOGRAMA FISICO FINANCEIRO;2022-03-30 00:00:00;300;2023-01-24 00:00:00;;3513696.96;MENSAL
CT-00076/2022/SED;EEF FRANCISCO DE PAULA SEARA;;;0;CRONOGRAMA FISICO FINANCEIRO;2022-03-15 00:00:00;300;2023-01-09 00:00:00;;3336343.88;MENSAL
