"CONTRATO";"OBJETO_CONTRATO";"NUMERO_SEQUENCIAL_PARALISACAO";"DATA_PARALISACAO";"TERMO_PARALISACAO";"DATA_REINICIO";"TERMO_REINICIO";"NUMERO_DIAS_PARALISADOS";"JUSTIFICATIVA_PARALISACAO"
CT-00140/2021;SC-435: ÁGUAS MORNAS- SÃO BONIFÁCIO;1;2021-12-10 00:00:00;"037/2021";;;178;
CT-00142/2021;SC-350: CHAPADÃO DO LAGEADO - ALFREDO WAGNER;1;2022-02-16 00:00:00;"009/2022";;;110;
CT-00143/2021;SC-486, TRECHO VIDAL RAMOS ENTR. SC-486 - BR-486;1;2022-02-23 00:00:00;"012/2022";;;103;
CT-00144/2021;RIO DO CAMPO - TAIÓ;1;2021-12-06 00:00:00;"033/2021";2022-05-17 00:00:00;"025/2022";162;
CT-00147/2021;BLUMENAU - LUIZ ALVES;1;2021-11-15 00:00:00;"028/2021";2022-04-11 00:00:00;"015/2022";147;
CT-00157/2021;OBRA CABECEIRA INSULAR DA PONTE HERCÍLIO LUZ,;1;2022-04-12 00:00:00;"1º Paralisação";;;24;
CT-00150/2021;PONTE RIO CAÇADOR;1;2022-02-20 00:00:00;"004/2022";2022-03-02 00:00:00;"006/2022";10;
CT-00154/2021/SIE;REFORMA POSTO POLICIAL;1;2022-01-20 00:00:00;"1º Termo Paralisação";2022-02-01 00:00:00;"1º Termo Reiicio";12;
CT-00159/2021;TRECHO: SÃO JOÃO BATISTA - MAJOR GERCINO;1;2021-12-10 00:00:00;"038/2021";;;178;
CT-00163/2021;TRECHO: DONA EMMA-PRESIDENTE GETÚLIO;1;2022-05-11 00:00:00;"036/2022";;;26;
CT-00195/2021;ELABORAÇÃO DE INVENTÁRIOS FLORESTAIS (LOTE 2);1;2021-12-22 00:00:00;"05/2021";2022-01-25 00:00:00;"002/2022";34;
CT-00195/2021;ELABORAÇÃO DE INVENTÁRIOS FLORESTAIS (LOTE 2);2;2022-03-04 00:00:00;"002/2022";;;94;
CT-00196/2021;ELABORAÇÃO DE INVENTÁRIOS (LOTE 2) SEARA - ARABUTÃ;1;2021-12-22 00:00:00;"04/2021";2022-01-25 00:00:00;"001/2022";34;
CT-00196/2021;ELABORAÇÃO DE INVENTÁRIOS (LOTE 2) SEARA - ARABUTÃ;2;2022-02-21 00:00:00;"001/2022";;;105;
CT-00194/2021;SEG1:DOM JOAQUIM-BOTUVERÁ SEG2: ILHOTA-GASPAR;1;2022-03-14 00:00:00;"024/2022";;;84;
CT-00197/2021;ROD SC-370 - SÃO MARTINHO;1;2022-01-05 00:00:00;"001/2022";2022-02-07 00:00:00;"004/2022";33;
CT-00197/2021;ROD SC-370 - SÃO MARTINHO;2;2022-03-09 00:00:00;"018/2022";;;89;
CT-00203/2021;PINTURA NEW JERSEYS SC 401, 404 À 403;1;2022-01-05 00:00:00;"01/2022";2022-02-09 00:00:00;"09/02/2022";35;
CT-00204/2021;ENTR.SC-340/JOSÉ BOITEUX;1;2022-04-01 00:00:00;"029/2022";;;66;
CT-00207/2021;ENTR.SC-340/DONA EMMA;1;2022-04-01 00:00:00;"028/2022";;;66;
CT-00198/2021;ILUMINAÇÃO BR-280;1;2021-12-20 00:00:00;"1º Termo Paralisação";2021-12-28 00:00:00;"2º Termo Reinício";8;
CT-00198/2021;ILUMINAÇÃO BR-280;2;2022-01-21 00:00:00;"2º Termo Paralisação";;;;
CT-00216/2021;BR-101:GAROPABA;1;2022-03-22 00:00:00;"023/2022";;;76;
CT-00219/2021;ESCORREGAMENTO SC-401 KM 12+900;1;2022-01-06 00:00:00;"02/2022";2022-02-25 00:00:00;"004/2022";50;
CT-00217/2021;MANUTENÇÃO DESCOTINUADA EXTREMO OESTE LOTE 1;1;2022-04-06 00:00:00;"16/2022";2022-06-01 00:00:00;"21/2022";56;
CT-00218/2021;MANUTENÇÃO DESCONTINUADA LOTE 02 EXTREMO;1;2022-02-03 00:00:00;"003/2022";2022-03-07 00:00:00;"006/2022";32;
CT-00218/2021;MANUTENÇÃO DESCONTINUADA LOTE 02 EXTREMO;2;2022-03-31 00:00:00;"15";2022-04-18 00:00:00;"010/2022";18;
CT-00218/2021;MANUTENÇÃO DESCONTINUADA LOTE 02 EXTREMO;3;2022-05-13 00:00:00;"032/2022";;;24;
CT-00233/2021;MANUTENÇÃO DESCONTINUADA OESTE LOTE 2;1;2022-03-04 00:00:00;"09/2022";2022-04-04 00:00:00;"08/03/2022";31;
CT-00233/2021;MANUTENÇÃO DESCONTINUADA OESTE LOTE 2;2;2022-04-26 00:00:00;"026/2022";;;41;
CT-00234/2021;MANUTENÇÃO DESCONTINUADA OESTE LOTE 3;1;2022-03-04 00:00:00;"10/2022";2022-04-20 00:00:00;"011/2022";47;
CT-00239/2021;MANUTENÇÃO DESCONTINUADA NORTE LOTE 1;1;2022-03-04 00:00:00;"007/202";2022-05-04 00:00:00;"015/2022";61;
CT-00229/2021;MANUTENÇÃO DESCONTINUADA CRSUL LOTE 1;2;2022-02-03 00:00:00;"004/2022";2022-02-21 00:00:00;"002/2022";18;
CT-00230/2021;MANUTENÇÃO DESCONTINUADA CRSUL - LOTE 02;1;2022-02-03 00:00:00;"005/2022";2022-02-21 00:00:00;"003/2022";18;
CT-00231/2021;MANUTENÇÃO DESCONTINUADA CRSUL LOTE 3;1;2022-04-29 00:00:00;"029/2022";;;38;
CT-00247/2021;RECUPERAÇÃO ASFÁLTICA PONTE COLOMBO SALLES-FPOLIS;1;2022-03-15 00:00:00;"004/2022";2022-05-16 00:00:00;"14/2022";62;
CT-00247/2021;RECUPERAÇÃO ASFÁLTICA PONTE COLOMBO SALLES-FPOLIS;2;2022-05-17 00:00:00;"007/2022";;;20;
CT-00226/2021;MANUTENÇÃO DESCONTINUADA CRMEI LOTE 1;1;2022-04-29 00:00:00;"028/2022";2022-06-01 00:00:00;"020/2022";33;
CT-00228/2021;MANUTENÇÃO DESCONTINUADA CRMEI LOTE 03;1;2022-03-31 00:00:00;"13";2022-05-23 00:00:00;"017/2022";53;
CT-00240/2021;MANUTENÇÃO DESCONTINUADA CRNOR LOTE 2;1;2022-03-04 00:00:00;"011/2022";2022-03-18 00:00:00;"007/2022";14;
CT-00235/2021;MANUTENÇÃO DESCONTINUADA CROES LOTE 4;1;2022-04-13 00:00:00;"22/2022";2022-05-04 00:00:00;"014/2022";21;
CT-00236/2021;MANUTENÇÃO DESCONTINUADA OESTE LOTE 05;1;2022-04-20 00:00:00;"024/2022";;;47;
CT-00237/2021;MANUTENÇÃO DESCONTINUADA OESTE LOTE 06;1;2022-03-04 00:00:00;"008/202";;;94;
CT-00223/2021;MANUTENÇÃO DESCONTINUADA PLANALTO LOTE 1;1;2022-03-31 00:00:00;"14";;;67;
CT-00225/2021;MANUTENÇÃO DESCONTINUADA PLANALTO LOTE 03;1;2022-04-26 00:00:00;"027/2022";;;41;
CT-00245/2021;MANUTENÇÃO DESCONTINUADA NORTE LOTE 05;1;2022-04-11 00:00:00;"20/2022";2022-05-23 00:00:00;"018/2022";42;
CT-00258/2021;SUPERVISÃO MANUTENÇÃO DESCONTINUADA LOTE 02;1;2022-04-11 00:00:00;"017/2022";;;56;
CT-00261/2021;SUPERVISÃO MANUTENÇÃO DESCONTINUADA LOTE 05;36;2022-06-01 00:00:00;"36/2022";;;5;
CT-00262/2021;SUPERVISÃO MANUTENÇÃO DESCONTINUADA LOTE 06;1;2022-04-11 00:00:00;"21/2022";2022-05-27 00:00:00;"019/2022";46;
CT-00263/2021;SUPERVISÃO MANUTENÇÃO DESCONTINUADA LOTE 07;1;2022-04-11 00:00:00;"19/2022";2022-05-02 00:00:00;"013/2022";21;
CT-00263/2021;SUPERVISÃO MANUTENÇÃO DESCONTINUADA LOTE 07;2;2022-06-01 00:00:00;"034";;;5;
CT-00259/2021;SUPERVISÃO MANUTENÇÃO DESCONTINUADA LOTE 03;2;2022-05-06 00:00:00;"031/2022";;;31;
CT-00260/2021;SUPERVISÃO MANUTENÇÃO DESCONTINUADA LOTE 04;1;2022-04-11 00:00:00;"18/2022";2022-05-23 00:00:00;"016/2022";42;
CT-00242/2021;MANUTENÇÃO DESCONTINUADA NORTE LOTE 4;1;2022-04-13 00:00:00;"23/2022";2022-04-28 00:00:00;"012/2022";15;
CT-00276/2021;MANUTENÇÃO DESCONTINUA - VALE - LOTE 04;1;2022-04-20 00:00:00;"025/2022";;;47;
CT-00257/2021;SUPERVISÃO EXTREMO OESTE;1;2022-05-13 00:00:00;"033/2022";2022-06-01 00:00:00;"022/2022";19;
CT-00270/2021/SIE;EXECUÇÃO DE BATIMETRIA CONTINENTE E ILHA SC;1;2022-04-12 00:00:00;"005/2022/DTRA/SIE";2022-04-27 00:00:00;"007/2022/DTRA/SIE";15;
CT-00025/2021/SSP-FMSP;CBMSC - CORPO DE BOMBEIROS MILITAR DE SC;1;2021-08-01 00:00:00;"001";;;309;
AS-00111/2021/SSP-FMPC;SEF - INSPETORIA REG. DE EXATORIAS;1;2021-12-16 00:00:00;"3 TA";;;172;
CT-00396/2021/UDESC;EEB DAYSE WERNER SALLES (PROCESSO DE DOAÇÃO EM TRAMITAÇÃO);1;2021-09-24 00:00:00;"01";;;255;
CT-00112/2021/SSP-FUMCBM;CORPO DE BOMBEIROS MILITAR;1;2022-01-20 00:00:00;"1";2022-02-17 00:00:00;"39/2022/SIE/CRSUL";28;
CT-00380/2021/SES-FESAUDE;APAE;1;2021-08-30 00:00:00;Paralisação 01;2021-10-25 00:00:00;"11-GEOMA-2021";56;
CT-00002/2021/FAPESC;FAPESC - FUNDAÇÃO DE AMPARO À PESQUISA E INOVAÇÃO DO ESTADO DE SANTA CATARINA;1;2021-10-01 00:00:00;TP 1;2021-11-03 00:00:00;TR 1;33;
CT-00002/2021/FAPESC;FAPESC - FUNDAÇÃO DE AMPARO À PESQUISA E INOVAÇÃO DO ESTADO DE SANTA CATARINA;2;2021-12-08 00:00:00;TP 2;2022-02-22 00:00:00;TR 2;76;
CT-00167/2021/SSP-FMPC;DELEGACIA DE POLÍCIA  DE URUSSANGA;1;2022-05-09 00:00:00;Ofício 189/2022;;;28;
CT-00458/2021/SES-FESAUDE;MATERNIDADE CARMELA DUTRA (HEMOSC - CEPON);1;2022-04-28 00:00:00;"01";2022-06-06 00:00:00;"01";39;
CT-00212/2021/SSP-FUMPOM;QUARTEL DA POLICIA MILITRA (FUTURAS INSTALAÇÕES);1;2021-12-28 00:00:00;"001";2022-02-01 00:00:00;"001";35;
CT-00465/2021/SES-FESAUDE;HOSPITAL INFANTIL JOANA DE GUSMÃO - HOSPITAL NEREU RAMOS(PROJETO DE DOAÇÃO EM TRAMITAÇÃO LEI 17.407);1;2021-12-07 00:00:00;"01";;;181;
CT-00178/2021/SSP-FMPC;ACADEPOL-ACADEMIA DE POLICIA CIVIL;1;2022-02-23 00:00:00;"13/2022";;;103;
CT-00231/2021/SSP-FUMPOM;CORPO DE BOMBEIROS MILITAR E POLÍCIA MILITAR DE SANTA CATARINA;1;2022-02-23 00:00:00;"001";2022-03-28 00:00:00;"001";33;
CT-01595/2021/UDESC;UDESC  (SECRETARIA DO ESTADO DA FAZENDA SC) TRANSFERÊNCIA DO IMÓVEL PARA UDESC;1;2022-05-26 00:00:00;"001";;;0;
CT-00008/2020/SIE;IMPERMEABILIZAÇÃO TPS - AER. JAGUARUNA;1;2020-05-27 00:00:00;"002/2020/DTRA";2020-08-03 00:00:00;"002/2020/DTRA";68;
CT-00009/2020;ILUMINAÇÃO CÊNICA DA PONTE HERCÍLIO LUZ;1;2020-07-16 00:00:00;"024/2020";2020-08-03 00:00:00;"026/2020";18;
CT-00009/2020;ILUMINAÇÃO CÊNICA DA PONTE HERCÍLIO LUZ;2;2020-11-19 00:00:00;"02/2020";;;;
CT-00005/2020;PROJETO EXECUTIVO E EXECUÇÃO DE OBRA SC404 E SC406;1;2021-09-10 00:00:00;"013/2021";2021-09-16 00:00:00;"022/2021";6;
CT-00005/2020;PROJETO EXECUTIVO E EXECUÇÃO DE OBRA SC404 E SC406;2;2021-12-20 00:00:00;"019/2021";2022-02-24 00:00:00;"005/2022";66;
CT-00018/2020;ENTROC. SC467 (ZORTÉA) - ENTR. SC390 (PIRATUBA);1;2021-08-01 00:00:00;"016/2021";2021-10-25 00:00:00;"019/2021";85;
CT-00018/2020;ENTROC. SC467 (ZORTÉA) - ENTR. SC390 (PIRATUBA);2;2021-11-03 00:00:00;"027/2021";;;;
CT-00019/2020;EXECUÇÃO PGA SC-401, TR SC-405 E NOVO ACESSO AEROP;1;2021-06-02 00:00:00;"002/2021";2021-07-19 00:00:00;"002/2021";47;
CT-00019/2020;EXECUÇÃO PGA SC-401, TR SC-405 E NOVO ACESSO AEROP;2;2022-05-24 00:00:00;"003/2022";;;13;
CT-00043/2020;OBRAS DA PONTE SOBRE O RIO CAÇADOR SC 283;1;2021-01-18 00:00:00;"003/2021";;;;
CT-00044/2020;CICLOVIA NA SC-441, MUNICÍPIO DE JAGUARUNA;1;2020-12-07 00:00:00;"038/2020";2021-06-07 00:00:00;"009/2021";182;
CT-00042/2020;RODOVIA SC 155, KM 112+200M, TRECHO: SEARA - ITÁ;1;2021-03-08 00:00:00;"005/2021";2021-08-02 00:00:00;"015/2021";147;
CT-00046/2020;ELABORAÇÃO DE DIAGNÓSTICO AMBIENTAL DE 35 HECTARES;1;2020-10-13 00:00:00;"002/2020";2020-11-30 00:00:00;"003/2020";48;
CT-00051/2020/SIE;PROJETO EXECUTIVO AÉRODROMO DE DIONÍSIO CERQUEIRA;1;2021-02-10 00:00:00;"001/2021/DTRA";2021-04-23 00:00:00;"001/2021/DTRA";72;
CT-00074/2020;ACESSO SUL DE CRICIUMA;1;2022-01-25 00:00:00;"003/2022";2022-05-26 00:00:00;"015/2022";121;
CT-00074/2020;ACESSO SUL DE CRICIUMA;2;2022-06-01 00:00:00;"009/2022";;;5;
CT-00069/2020;SUPERVISÃO ACESSO SUL DE CRICIUMA;1;2022-01-25 00:00:00;"003/2022";;;132;
CT-00073/2020;SC-305: SÃO LORENÇO DO OESTE - CAMPO ERÊ;1;2021-11-26 00:00:00;"030/2021";2022-04-19 00:00:00;"018/2022";144;
CT-00073/2020;SC-305: SÃO LORENÇO DO OESTE - CAMPO ERÊ;2;2022-05-09 00:00:00;"039/2022";;;28;
CT-00072/2020;TRECHO: PALMITOS - BR158 E BR158 - MONDAI;1;2021-07-01 00:00:00;"011/2021";2021-08-02 00:00:00;"009/2021";32;
CT-00072/2020;TRECHO: PALMITOS - BR158 E BR158 - MONDAI;2;2021-08-27 00:00:00;"023/2021";2022-04-26 00:00:00;"019/2022";242;
CT-00063/2020;CONTENÇÃO DE ESCORREGAMENTOS NA SC-114 E SC-340;1;2021-03-02 00:00:00;"006/2021";2021-09-02 00:00:00;"010/2021";184;
CT-00064/2020;REFORMA TERMINAL RITA MARIA - LOTE 02;1;2021-03-30 00:00:00;"1Termo Paralisação";2021-04-12 00:00:00;"1Termo reinívio";13;
CT-00064/2020;REFORMA TERMINAL RITA MARIA - LOTE 02;2;2021-04-14 00:00:00;"2Termo Paralização";2021-04-30 00:00:00;"2 Termo Reinício";16;
CT-00078/2020;RESTAURAÇÃO DE OBRAS NA RODOVIA SC - 407;1;2021-06-07 00:00:00;"009/2021";2021-08-02 00:00:00;"016/2021";56;
CT-00078/2020;RESTAURAÇÃO DE OBRAS NA RODOVIA SC - 407;2;2022-01-05 00:00:00;"001/2022";2022-05-03 00:00:00;"013/2022";118;
