"CONTRATO";"OBJETO_CONTRATO";"NUMERO_ADVERTENCIA";"DATA_ADVERTENCIA";"DESCRICAO_ADVERTENCIA";"MOTIVO_ADVERTENCIA";"SOLICITACAO_ADVERTENCIA"
CT-00020/2021;CAMPO ÊRE - PALMA SOLA - FLOR DA SERRA DO SUL;3;2022-04-12 00:00:00;Atraso na entrega do Anteprojeto completo;O Relatório de Anteprojeto completo deveria ter sido entregue em 31/03/2022 (270 dias corridos) conforme cronograma aprovado no aditivo de prazo do processo SIE 2722/2022. Foram feitas solicitações por mensagens e e-mail sobre a entrega do relatório, porém, até o presente momento, o relatório não foi entregue. ;que a empresa entregue o relatório de anteprojeto completo, conforme as IS, até a data limite do dia 19/04/2022. Além disso, solicitamos que a empresa se atente aos prazos do contrato
CT-00032/2021;SC-386 - MONDAI - LOTE 2;1;2021-09-14 00:00:00;Demora na entrega do Anteprojeto corrigido;demora na entrega do relatório de Anteprojeto corrigido;que a empresa entregue o relatório de Anteprojeto corrigido, visto que o prazo do contrato já está encerrando e o Anteprojeto ainda não foi aprovado
CT-00023/2021;SC-155 EM BOM JESUS E BR-282 - XANXERÊ;1;2021-06-28 00:00:00;Atraso na contagem e entrega da Pré-Análise;Apesar da solicitação da fiscalização, houve atraso para o início dos serviços de contagem de tráfego que culminará no atraso da entrega da Pré-Análise, conforme indicado no processo SIE 15311/2021.;Solicitamos que a Contratada envie um cronograma detalhado de serviços de forma a recuperar o atraso nos serviços a prestar. 
CT-00023/2021;SC-155 EM BOM JESUS E BR-282 - XANXERÊ;2;2021-09-09 00:00:00;Atraso na entrega do RAP-04 ;o Relatório de Acompanhamento 04 deveria ter sido entregue em 31/08/2021 (120 dias corridos da Ordem de Serviço).;que a empresa se atente aos prazos do contrato e entregue o relatório de acompanhamento 04 até o dia 10/09/2021, tendo em vista que o mesmo já se encontra com 9 dias de atraso.
CT-00023/2021;SC-155 EM BOM JESUS E BR-282 - XANXERÊ;3;2021-09-24 00:00:00;Atraso na entrega do RAP-4 e Pré-Análise corrigida;o Relatório de Acompanhamento 04 deveria ter sido entregue em 31/08/2021 e não foi entregue até o momento, não tendo sido acatado o prazo dado pela fiscalização na Advertência 02. Além disso, a Pré-Análise ainda não foi entregue com as adequações solicitadas pela fiscalização e pela ASMAM (análises enviadas em 19/08/2021). Ainda, há dificuldade de comunicação com a empresa (e-mails em geral não são respondidos, não houve retorno sobre a solicitação de reuniões semanais para acompanhamento, etc.);que a empresa entregue os relatórios solicitados o mais breve possível, pois já foi extrapolado o prazo dado na Advertência anterior. Ainda, que a empresa se atente ao cronograma do contrato e que retorne sobre as solicitações da fiscalização. A fiscalização solicita retorno sobre as questões levantadas em um prazo máximo de 5 dias.
CT-00033/2021;SC355 FRAIBURGO - MONTE CARLOS - BR470 - BRUNÓPOLI;1;2021-09-14 00:00:00;Atraso na entrega do Relatório de Acompanhamento 3;que o Relatório de Acompanhamento 03 (RAP 03) deveria ter sido entregue até 05/09/2021, conforme Ofício Circular Nº 287/2021;que a empresa se atente aos prazo de entrega dos relatórios e entregue o RAP 03 até o dia 15/09/2021, visto que o mesmo já se encontra com 9 dias de atraso
CT-00033/2021;SC355 FRAIBURGO - MONTE CARLOS - BR470 - BRUNÓPOLI;2;2022-02-14 00:00:00;Atraso na entrega dos Relatórios e Projetos;que o Relatório de Anteprojeto deveria ter sido entregue até 05/01/2022, conforme Ofício Circular N° 287/2021;que a empresa se atente aos prazos do cronograma previsto e entregue o Anteprojeto até o dia 16/02/2022
CT-00035/2021;TRECHO: XANXERE - XAVANTINA;1;2021-08-04 00:00:00;Início dos serviços de sondagens;no final do mês de agosto será entregue o segundo relatório de acompanhamento do anteprojeto (de um total de 4 entregas referentes a esta etapa);que sejam iniciados os serviços de sondagem no trecho, de modo que haja um desenvolvimento das soluções de projeto antes da última entrega do anteprojeto, a qual deve ser resultado de uma compilação dos relatórios anteriores, com todas as etapas já analisadas pela fiscalização e ajustadas pela projetista.
CT-00035/2021;TRECHO: XANXERE - XAVANTINA;2;2021-09-10 00:00:00;Andamento lento das sondagens;em 12/08/2021 a projetista informou que estava iniciando as sondagens no trecho. Em visita ao trecho no dia 09/09/2021 as fiscais constataram que no período de quase 1 mês houve pouca evolução das sondagens, sendo que não foi aberto nenhum poço de inspeção no pavimento.;atenção aos prazos contratuais para que não haja atraso, tendo em vista que no mês de setembro será entregue o RAP 05 e no mês de Outubro o relatório do Anteprojeto.
CT-00030/2021;TRECHO: JARAGUÁ DO SUL - POMERODE;1;2021-07-28 00:00:00;Reincidência de pedido de prorrogação de prazo;Houve duas solicitações de prorrogação de prazo por parte da empresa (SIE 11006/2021 e SIE 17603/2021) motivados por dificuldades na execução das sondagens geológicas.;Solicitamos que a empresa contratada tome as providências necessárias para o cumprimento do prazo contratual sob pena de aplicação de sanções cabíveis, no caso de atraso na entrega.
CT-00036/2021;PONTE SOBRE RIO MACUCO - LINHA CHAPÉU - ITAPIRANGA;1;2021-07-19 00:00:00;Atraso na entrega do Relatório 01;Até a presente data a fiscalização do contrato não recebeu o Relatório de Andamento do Projeto 1, conforme previsto no cronograma contratual.;Envio de cronograma detalhado de serviços de forma a recuperar o atraso nos serviços a prestar.
CT-00112/2021;CICLOVIA SC-406: ENTR. SC403 INGLESES - B DA LAGOA;1;2021-12-16 00:00:00;Entrega de produtos;Não foi entregue o relatório de acompanhamento da fase de Anteprojeto, bem como não foi apresentado um plano de sondagem para implantação de ciclovia e melhoramento de interseções. A ordem de serviço foi dada em 01 de setembro de 2021, faltando menos de 60 dias para o término do contrato (duração total de 150 dias). Apesar da solicitação da prioridade da entrega do projeto da interseção no km 17,00, o mesmo não impede que sejam desenvolvidas outras frentes de trabalhos em paralelo.;que a empresa apresente plano de sondagem e tome atenção aos prazos, sob risco de atraso contratual e penalidades.
CT-00117/2021;CICLOVIA NA SC404 - ITACORUBI ATÉ O MORRO DA LAGOA;1;2022-02-11 00:00:00;Falta e atraso de entrega de relatórios;A empresa projetista não respondeu às solicitações da fiscalização enviadas por e-mail (e-mails do dia 02/02 e 07/02), assim como não vem atendendo as demandas solicitadas. A falta e atraso de entrega de relatórios têm sido constantes, sendo que não foram entregues relatórios referente aos meses de agosto, outubro e dezembro, e o relatório de janeiro, ainda não foi recebido pela fiscalização. Além disso, não foram entregues os relatórios anteriores corrigidos.;Solicita-se uma resposta imediata aos e-mails e entrega das solicitações requeridas. Assim como, solicita-se a entrega dos relatórios corrigidos e do relatório de Anteprojeto, referente ao mês de janeiro, em até 05 (cinco) dias úteis. Caso não sejam atendidas as solicitações da fiscalização, a empresa projetista será notificada, visto que vem sendo lembrada constantemente sobre as pendências do projeto.
CT-00118/2021;RESTAURAÇÃO DA SC404 NO BAIRRO LAGOA DA CONCEIÇÃO;1;2022-02-15 00:00:00;Atraso de entrega de relatórios;O contrato está com pendência de entregas de relatórios, que deveriam ter sido entregues até o quinto (5°) dia útil (07/02), conforme ofícios enviados às empresas projetistas pela direção. O presente contrato finalizará no próximo dia 27/02 e já foram concedidos mais 30 dias de aditivo de prazo. Sendo assim, é necessário concluir TODOS os relatórios o mais breve possível. Ademais, a empresa não vem respondendo aos e-mails enviados pela fiscalização com pendências referentes ao projeto.;Solicita-se a entrega do relatório corrigido da Minuta, com todas as disciplinas concluídas, para finalização do projeto e análise completa do relatório (com o Meio Ambiente e Orçamento), em via impressa, dentro do prazo de três (03) dias úteis (até 18/02). Assim como, os demais relatórios atrasados corrigidos, sendo que faltam menos de quinze (15) dias para a finalização do contrato. Além disso, solicita-se resposta aos e-mails imediatamente.
CT-00111/2021;ACESSO AO PORTO DE IMBITUBA - BR101 AO PORTO;1;2022-02-01 00:00:00;Atraso na entrega dos relatórios de acompanhamento;Os relatórios de acompanhamento 03 e 04 da etapa de Anteprojeto, previstos para serem entregues em 30/12/2021 e 29/01/2021, respectivamente, não foram entregues até o presente momento. ;que seja entregue o Relatório de Acompanhamento 04 em um prazo máximo de 5 dias para que se possa acompanhar o andamento do projeto de duplicação, tendo em vista que o próximo relatório a ser entregue em 28/02/2022 é o Relatório de Anteprojeto e, ainda não foram apresentados estudos referentes a essa etapa. 
CT-00111/2021;ACESSO AO PORTO DE IMBITUBA - BR101 AO PORTO;2;2022-04-13 00:00:00;Atraso na entrega dos relatórios de acompanhamento;Os relatórios de acompanhamento 05 e 06 da etapa de Anteprojeto, previstos para serem entregues em 28/02/2022 e 30/03/2022, respectivamente, não foram entregues até o presente momento;que o Relatório de Acompanhamento 06 (com os serviços realizados no período) seja entregue em um prazo máximo de 5 dias para que se possa acompanhar o andamento da elaboração do projeto
CT-00110/2021;SC283 SEARA - SC154 ITÁ;1;2021-12-27 00:00:00;Não atendimento das solicitações da fiscalização;até a presente data não foram encaminhadas todas as alterações e respectivas respostas solicitadas em 17/11/2021 (e reiteradas em 03/12/2021) referentes ao volume de Pré-Análise.;que seja enviado até 10/01/2021 o volume de Pré-Análise com as respostas e alterações solicitadas, incluindo a parte de Meio Ambiente.
CT-00110/2021;SC283 SEARA - SC154 ITÁ;2;2022-02-21 00:00:00;Atraso na entrega do anteprojeto;Estava prevista a entrega do volume de anteprojeto até o quinto dia útil de fevereiro de 2022, porém até o momento não foi enviado;realizar a entrega do anteprojeto, sob pena de sanções contratuais, e informar as medidas que serão tomadas para recuperar o suposto atraso.
CT-00121/2021;RUA DONA FRANCISCA - RUA EDMUNDO DOUBRAWA;1;2022-02-22 00:00:00;Entrega de Anteprojeto incompleta ;O Anteprojeto está incompleto e não atende as adequações solicitadas no relatório de análise encaminhada no dia 13/01/2022 por meio de correio eletrônico e do processo SIE 1769/2022.;Entrega do Anteprojeto completo conforme  edital, Termo de Referência e IS 01 urgente, bem como a apresentação do cronograma com as datas de entrega de todas as disciplinas que ainda não foram entregues referente as fases de Anteprojeto e Projeto de Execução. Caso não seja cumprida a solicitação em até 5 (cinco) dias corridos, serão aplicadas as penalidades previstas em contrato.
CT-00018/2021;SC401 - STO DE LISBOA - SC404 LAGOA DA CONCEIÇÃO;1;2022-02-14 00:00:00;Não atendimento das solicitações ;"No projeto entregue, ref. ao Lote 1, não constam informações solicitadas nas reuniões e análises anteriores, tais como: memorial de cálculo do quantitativo das alterações; informações e justificativas técnicas das alterações projetadas (inclusive estudo de capacidade da interseção); ART de todos os profissionais envolvidos. Além disso, as informações apresentadas nas pranchas das diversas disciplinas do projeto não foram compatibilizadas. ";que seja enviado até o dia 21/02/2022 o Projeto Executivo do Lote 1 com as respostas e alterações solicitadas nas análises, incluindo os ajustes no orçamento. Além disso, solicitamos que a empresa contratada se atente à qualidade dos produtos entregues, compatibilizando as informações nas diversas disciplinas do projeto. 
CT-00018/2021;SC401 - STO DE LISBOA - SC404 LAGOA DA CONCEIÇÃO;2;2022-04-07 00:00:00;Atraso na entrega do Relatório de Pré-Análise e RA;Em 20/09/21, à pedido do Secretário Thiago Vieira, foi solicitado que o objeto do contrato CT-18/2021, fosse entregue em duas etapas distintas: Lote 1 e Lote 2. No que se refere ao Lote 2, a empresa entregou apenas o Relatório de Acompanhamento 01 (processo autuado em 06/12/21). Dessa forma, encontra-se em atraso a entrega do Relatório de Pré-Análise completo (conforme as Instruções de Serviço). Além disso, não foram entregues os Relatórios de Acompanhamento 02, 03 e 04 referentes à etapa de Anteprojeto. Em 14/03/22, foi solicitado, por e-mail, que a contratada entregasse o Relatório de Pré-Análise completo até o dia 18/03/22 e o Relatório de Acompanhamento 04 referente a etapa de Anteprojeto até o dia 21/03/22 (tendo em vista que já não foram entregues os Relatórios de acompanhamento 02 e 03). O prazo se expirou e não houve o retorno da contratada com os relatórios. Em 24/03/22 foi realizada reunião virtual com a contratada na qual foi solicitada a entrega dos relatórios até data de 30/03/22. Porém, novamente o prazo expirou e, até o momento, não houve entrega dos relatórios solicitados.;que os relatórios de Pré-Análise e de Acompanhamento 04 sejam entregues até o prazo limite do dia 15/04/22. 
CT-00123/2021;PÉ DA SERRA DO RIO DO RASTRO - LAURO MULLER;1;2022-02-15 00:00:00;Atraso na entrega dos relatórios;O Ofício Circular Nº 097/2022 foi encaminhado via e-mail, no dia 14/02/22, com intuito de lembrar as empresas projetistas de que as entregas dos produtos devem acontecer até o 5º (quinto) dia útil de cada mês, para que seja efetuada a medição do mês. A empresa encontra-se com as entregas atrasadas, pois o relatório de Anteprojeto deveria ter sido entregue até o dia 15/01/22 e o relatório da Minuta do Executivo até o dia 14/02/22, tendo em vista que o prazo do contrato se encerra em 16/03/22;que seja entregue o relatório de Anteprojeto em até 3 (três) dias úteis (até o dia 18/02/22)
CT-00130/2021;SC110: ITUPORANGA - PETROLÂNDIA;1;2022-02-15 00:00:00;Atraso na entrega de relatórios;O Ofício Circular N° 097/2022 foi encaminhado via e-mail, no dia 14/02/2022, com o intuito de lembrar as empresas projetistas de que as entregas dos produtos dos contratos devem acontecer até o 5° (quinto) dia útil de cada mês, para que seja efetuada a medição do mês. A empresa está com o relatório de Anteprojeto atrasado, que deveria ter sido entregue até o dia 15/01/22, e o relatório da Minuta do Executivo até o dia 14/02/22, visto que o prazo final do contrato é no dia 16/03/22.;Solicita-se que sejam entregues os relatórios de Anteprojeto e o RAP03 Corrigido em até três (03) dias úteis (até dia 18/02).
CT-00131/2021;SC110: PETROLÂNDIA - BR284 BOCAINA DO SUL;1;2022-02-15 00:00:00;Entrega dos Produtos do Contrato;foi encaminhado o ofício circular n° 097/2022 via e-mail no dia 14/02/2022 com o intuito de lembrar a empresa de que as entregas dos produtos dos contratos devem acontecer até o 5° (quinto) dia útil de cada mês, no entanto, a empresa já está em atraso em três relatórios, sem enviá-los, totalizando três meses de atraso no contrato (deveria estar sendo entregue o Relatório de Acompanhamento 05 - Fase de Estudo de Corredores).;que a entrega dos produtos seja realizada o mais breve possível para acompanhamento e análise por parte desta Fiscalização (até sexta-feira 18/02/2022).
CT-00132/2021;SC477: TRECHO BENEDITO NOVO - INDAIAL;1;2022-02-15 00:00:00;Entrega dos Produtos do Contrato;foi encaminhado o ofício circular n° 097/2022 via e-mail no dia 14/02/2022 com o intuito de lembrar a empresa de que as entregas dos produtos dos contratos devem acontecer até o 5° (quinto) dia útil de cada mês, no entanto, a empresa já está em atraso em três relatórios, sem enviá-los, totalizando três meses de atraso no contrato (deveria estar sendo entregue a Minuta do Projeto Executivo);que a entrega dos produtos seja realizada o mais breve possível para acompanhamento e análise por parte desta Fiscalização (até sexta-feira 18/02/2022).
CT-00142/2021;SC-350: CHAPADÃO DO LAGEADO - ALFREDO WAGNER;1;2022-02-15 00:00:00;Atraso na entrega de relatórios;O Ofício Circular N° 097/2022 foi encaminhado via e-mail, no dia 14/02/2022, com o intuito de lembrar as empresas projetistas de que as entregas dos produtos dos contratos devem acontecer até o 5° (quinto) dia útil de cada mês, para que seja efetuada a medição do mês. A empresa está com o relatório de Minuta do Executivo atrasado, que deveria ter sido entregue até o dia 29/01/22, visto que o prazo final do contrato é no dia 28/02/22.;Solicita-se que seja entregue o relatório de Minuta o quanto antes, em até dois (02) dias úteis (até o dia 17/02), em via impressa e digital, para que dê prazo suficiente de concluir o projeto dentro do prazo. O relatório de Minuta deve estar completo, constando todas as disciplinas necessárias ao produto em estudo.
CT-00143/2021;SC-486, TRECHO VIDAL RAMOS ENTR. SC-486 - BR-486;1;2022-02-15 00:00:00;Entrega da Minuta do Projeto Executivo;não houve a entrega da Minuta do Projeto Executivo prevista para o início do mês de fevereiro de 2022, sendo que o contrato encerra-se em 28/02/2022 (ou 02/03/2022, considerando que dia 28/02 é ponto facultativo);que sejam prestados esclarecimentos e as medidas para recuperação do suposto atraso
CT-00197/2021;ROD SC-370 - SÃO MARTINHO;1;2021-12-29 00:00:00;Atraso na entrega da Pré-Análise;a Ordem de Serviço do contrato foi emitida em 08/11/2021 e, até o momento, não houve a entrega do relatório de Pré-Análise, previsto para o final do primeiro mês do contrato. ;que a contratada entregue o relatório de Pré-Análise em um prazo máximo de 5 dias e que recupere o atraso nos serviços entregando os próximos relatórios dentro do prazo estabelecido no cronograma contratual.
DE-00002/2021/SED;MANUTENÇÃO BEM PÚBLICO - ADR DE BLUMENAU;1;2021-12-07 00:00:00;Advertência 1;A advertência se dá diante da série de divergências de informações encontradas entre o primeiro e segundo relatório e a situação in loco da edificação. Existem inconsistências com relação a medidas de ambientes, quantidade e especificação de pontos elétricos, etc.;"A empresa deve ser advertida pela a entrega do projeto com o nível abaixo do esperado de um serviço de engenharia.
"
DE-00036/2021/SED;MANUTENÇÃO BEM PÚBLICO - ADR DE CAÇADOR;1;2021-10-13 00:00:00;Advertência 01;Já se passou metade da vigência do contrato e ainda não recebemos nenhuma entrega.;Solicita que a empresa envie andamento dos layouts no prazo de até 20/10/2021 para o fiscal do contrato.
CT-00045/2021/SED;EEB PROF. HENRIQUE DA SILVA FONTES;1;2021-05-05 00:00:00;Obra ainda não iniciada;A obra em questão possui prazo para execução de 90 dias a contar da assinatura da ordem de serviço que se deu no dia 22/02/2021, logo seu prazo para conclusão é 23/05/2021. Até a presente data 05/05/2021 os serviços ainda não foram iniciados com a alegação de solicitação de reequilíbrio financeiro para o mesmo. Porém até a solicitação for analisada pela equipe da SED, a obra não pode parar.;"Considerando que a vigência do contrato CT-00045/2021/SED se encerra em 23/05/2021:
 - Solicita-se que os serviços sejam iniciados imediatamente em ritmo acelerado;
 - Seja encaminhado uma solicitação de aditivo com justificativa para regularizar a vigência do contrato."
CT-00046/2021/SED;EEB PAULO CORDEIRO;1;2021-05-05 00:00:00;Obra não iniciada;A obra em questão possui prazo para execução de 90 dias a contar da assinatura da ordem de serviço que se deu no dia 22/02/2021, logo seu prazo para conclusão é 23/05/2021. Até a presente data 05/05/2021 os serviços ainda não foram iniciados com a alegação de solicitação de reequilíbrio financeiro para o mesmo. Porém até a solicitação for analisada pela equipe da SED, a obra não pode parar.;"Considerando que a vigência do contrato CT-00046/2021/SED se encerra em 23/05/2021:
 - Solicita-se que os serviços sejam iniciados imediatamente em ritmo acelerado;
 - Seja encaminhado uma solicitação de aditivo com justificativa para regularizar a vigência do contrato
"
CT-00046/2021/SED;EEB PAULO CORDEIRO;2;2021-10-04 00:00:00;Obra em Atraso;Atraso no início da execução, por necessidade de remoção de 2 árvores no local da obra.;"A Águas Brancas Construções Ltda. apresentou uma justificativa para o atraso no início das obras como sendo a retirada de 2 árvores do local de construção da subestação. No documento apresentado, a data de remoção das árvores é de 14/07/2021, porém na data da fiscalização/medição passaram 76 dias, tendo tempo hábil suficiente para a obra estar em dia. A data final de execução é 20/10/2021, portanto deve ser acelerada a execução para cumprimento do prazo estabelecido.
No aguardo de providências."
CT-00066/2021/SED;EEB PROFª ADELINA RÉGIS;1;2022-04-25 00:00:00;Atraso em entrega de proposta readequada;Atraso na entrega de proposta readequada em função dos apontamentos feitos na 2º Análise de Documentos Técnicos, realizada pela Gerência de Planejamento de Infraestrutura da Secretaria de Estado da Educação, em 05/04/2022.;Que seja encaminhada proposta com as correções, para que assim seja submetida a nova análise e futura aprovação de layout
